,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,GC=F,GC=F,GC=F,GC=F
Start Day,02-17,12-22,04-14,09-21
End Day,02-24,12-28,04-19,09-29
Longest Streak,8,7,6,9
% Correct,0.6190476190476191,0.7619047619047619,0.6190476190476191,0.42857142857142855
Expected Value (%),0.01066093773522237,0.013292545967363484,0.008531543896645316,0.005219218509869006
Max DD From Entry (%),-0.02426045116923259,-0.0306485883411467,-0.05948218352206247,-0.03184286040846185
Risk Reward Ratio,0.4394369115749466,0.43370826151616976,0.14343024064476198,0.16390545456406494
Sharpe Ratio,0.4521668403173733,0.7660092171936644,0.3203277157909118,0.17246218736552466
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,SI=F,SI=F,SI=F,SI=F
Start Day,05-20,05-14,04-30,11-22
End Day,05-27,05-20,05-05,12-01
Longest Streak,8,7,6,10
% Correct,0.6666666666666666,0.38095238095238093,0.5238095238095238,0.42857142857142855
Expected Value (%),0.016361501613746048,-0.004380419173136618,0.01620473378484815,-0.007656048647651415
Max DD From Entry (%),-0.0459411737306209,-0.13758870941860268,-0.054902471527702,-0.1262133717863254
Risk Reward Ratio,0.35614026123239234,0.03183705401152897,0.2951549053064354,0.060659568311136024
Sharpe Ratio,0.45525817742276403,-0.07902120930821535,0.23224095802783457,-0.14902498054145652
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,HG=F,HG=F,HG=F,HG=F
Start Day,06-27,05-03,03-07,03-12
End Day,07-03,05-11,03-11,03-19
Longest Streak,7,9,5,8
% Correct,0.5238095238095238,0.47619047619047616,0.6666666666666666,0.2857142857142857
Expected Value (%),0.011200969620185474,0.0038861328066639666,0.01464892057393436,-0.015526864633226795
Max DD From Entry (%),-0.08487761475734457,-0.08584898486452486,-0.028421593517147792,-0.10959611694874671
Risk Reward Ratio,0.1319661214821808,0.04526707931138068,0.5154151742088678,0.14167349232352847
Sharpe Ratio,0.2761341749509761,0.06876992609454737,0.5476389914394505,-0.29068672032497295
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,CL=F,CL=F,CL=F,CL=F
Start Day,02-12,01-02,04-15,02-24
End Day,02-19,01-10,04-22,03-02
Longest Streak,8,9,8,7
% Correct,0.7142857142857143,0.47619047619047616,0.42857142857142855,0.2857142857142857
Expected Value (%),0.038020866034020336,-0.004271008222622918,0.20843075502822478,-0.008181762167785883
Max DD From Entry (%),-0.03090215047783229,-0.11962166258645346,-0.1168392705644129,-0.07748276992760528
Risk Reward Ratio,1.230363112149579,0.03570430413919517,1.7839101016410228,0.10559460090843906
Sharpe Ratio,0.9033408602278353,-0.0618417957981108,0.20512545554852551,-0.1474374134191985
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,NG=F,NG=F,NG=F,NG=F
Start Day,08-26,03-24,11-29,07-13
End Day,09-01,03-31,12-09,07-18
Longest Streak,7,8,11,6
% Correct,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.5238095238095238
Expected Value (%),0.01543321156299029,0.010379925425639402,0.03012659994475746,0.005446087820640444
Max DD From Entry (%),-0.18647742736867146,-0.12046133996006514,-0.3284480560365154,-0.09322691634451763
Risk Reward Ratio,0.08276182152855621,0.08616810529486484,0.09172409271744364,0.0584175475730053
Sharpe Ratio,0.19088244999573992,0.1915542719629536,0.19242733792306235,0.10728414562977061
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZC=F,ZC=F,ZC=F,ZC=F
Start Day,12-08,09-14,07-20,06-23
End Day,12-19,09-21,07-25,06-28
Longest Streak,12,8,6,6
% Correct,0.9047619047619048,0.6666666666666666,0.8095238095238095,0.5714285714285714
Expected Value (%),0.05244311709050263,0.02917332599622214,0.030095212512341884,0.0039012811867553897
Max DD From Entry (%),-0.037406312665136277,-0.03342905596189205,-0.041661556523740706,-0.10454427682875012
Risk Reward Ratio,1.4019857439565562,0.8726936838862188,0.7223736946840241,0.03731702303652572
Sharpe Ratio,0.7956438114439891,0.6101279723505625,0.9141086369420989,0.08082217132665298
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZS=F,ZS=F,ZS=F,ZS=F
Start Day,02-03,12-14,03-05,03-06
End Day,02-09,12-25,03-11,03-10
Longest Streak,7,12,7,5
% Correct,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.47619047619047616
Expected Value (%),0.01324797573910314,0.01195782097047433,0.009769609383687561,0.009223337853241925
Max DD From Entry (%),-0.02618431655532205,-0.04120777340029913,-0.05439264909570085,-0.03048633787649191
Risk Reward Ratio,0.5059507935260752,0.2901836227430703,0.1796126782958939,0.30254003910237
Sharpe Ratio,0.5912083181991757,0.3207183477102422,0.29207671258035406,0.2952024040070429
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZM=F,ZM=F,ZM=F,ZM=F
Start Day,10-17,11-30,03-07,03-06
End Day,10-25,12-05,03-13,03-12
Longest Streak,9,6,7,7
% Correct,0.6190476190476191,0.47619047619047616,0.5238095238095238,0.5238095238095238
Expected Value (%),0.0204649043247269,0.0006009084649088558,0.005099043711651319,0.006240358764403852
Max DD From Entry (%),-0.05699129746824394,-0.04850075446898705,-0.06627064541025629,-0.07325135883910927
Risk Reward Ratio,0.35908823335931467,0.01238967252134389,0.07694271996424788,0.08519103076449816
Sharpe Ratio,0.5119681387991297,0.018231560280458126,0.15047203520053054,0.16820806878804237
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZW=F,ZW=F,ZW=F,ZW=F
Start Day,02-03,04-03,08-27,09-03
End Day,02-09,04-10,09-01,09-09
Longest Streak,7,8,6,7
% Correct,0.5714285714285714,0.5238095238095238,0.42857142857142855,0.6190476190476191
Expected Value (%),0.01528158752761472,0.009180193544667481,0.005973419031525112,0.004314773526597477
Max DD From Entry (%),-0.037657564756712114,-0.05625868444698512,-0.0596897414398283,-0.13808405290904613
Risk Reward Ratio,0.40580392349696265,0.16317824767691388,0.10007446652364481,0.031247442667688443
Sharpe Ratio,0.3731162557015445,0.21980112979178745,0.13706627984710787,0.07960672278928412
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZL=F,ZL=F,ZL=F,ZL=F
Start Day,12-22,08-23,09-04,09-04
End Day,12-30,08-30,09-11,09-11
Longest Streak,9,8,8,8
% Correct,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666
Expected Value (%),0.016277174182618752,0.012389634706827385,0.012255777280202584,0.012255777280202584
Max DD From Entry (%),-0.042827266242556505,-0.039458879323008955,-0.046862251589688264,-0.046862251589688264
Risk Reward Ratio,0.38006568269922597,0.3139885095419534,0.261527708645126,0.261527708645126
Sharpe Ratio,0.5600356651087972,0.4335752560671113,0.3729990326321206,0.3729990326321206
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZB=F,ZB=F,ZB=F,ZB=F
Start Day,08-13,01-20,09-07,01-04
End Day,08-20,01-25,09-15,01-09
Longest Streak,8,6,9,6
% Correct,0.7142857142857143,0.5238095238095238,0.5238095238095238,0.47619047619047616
Expected Value (%),0.006285291647690661,-0.0020327944319191494,0.0063653206998533106,0.000669359098036093
Max DD From Entry (%),-0.020811540121663752,-0.04930443670067297,-0.018235455666215095,-0.018141074861690476
Risk Reward Ratio,0.3020099238666144,0.041229442377776995,0.3490628814747068,0.03689743320830543
Sharpe Ratio,0.49101137380247695,-0.13950949403802537,0.37510456784309887,0.05240199839601736
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZN=F,ZN=F,ZN=F,ZN=F
Start Day,01-09,01-20,09-08,10-03
End Day,01-15,01-25,09-15,10-11
Longest Streak,7,6,8,9
% Correct,0.8095238095238095,0.5714285714285714,0.6190476190476191,0.8095238095238095
Expected Value (%),0.00561441930992696,-0.000728401977864962,0.0025256828683141107,0.004985569031052522
Max DD From Entry (%),-0.006534554949201965,-0.02087549809210576,-0.011627987140892748,-0.010737854824133697
Risk Reward Ratio,0.8591892414360404,0.034892675358027175,0.21720722922301058,0.46429842018792106
Sharpe Ratio,0.7816536264037532,-0.10589088307378375,0.32138694878078955,0.7068095895590351
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZT=F,ZT=F,ZT=F,ZT=F
Start Day,01-09,03-20,09-07,03-29
End Day,01-15,03-28,09-15,04-05
Longest Streak,7,9,9,8
% Correct,0.7619047619047619,0.5238095238095238,0.42857142857142855,0.6190476190476191
Expected Value (%),0.0012572366726758765,-0.00040512021077193097,0.00022195780713511472,0.0017292748383000711
Max DD From Entry (%),-0.0018379482885348963,-0.010115081298991191,-0.002578338238612754,-0.004307314363274917
Risk Reward Ratio,0.6840435503645595,0.04005110772686868,0.08608560498817122,0.4014740259137429
Sharpe Ratio,0.6711624568812481,-0.13497081431043895,0.14074986294179853,0.5840152976906677
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
Asset,ZQ=F,ZQ=F,ZQ=F,ZQ=F
Start Day,12-04,03-24,06-14,10-13
End Day,12-13,03-28,06-19,10-17
Longest Streak,10,5,6,5
% Correct,0.6190476190476191,0.2857142857142857,0.5238095238095238,0.23809523809523808
Expected Value (%),9.809542838337126e-05,7.279677876081969e-06,4.413212230646724e-05,-4.569439930275365e-05
Max DD From Entry (%),-0.0005220608888902856,-0.0001027071521391143,-5.0132173943007174e-05,-0.0011396481983023676
Risk Reward Ratio,0.18790035888703902,0.07087800337625783,0.8803153511084298,0.04009517969740182
Sharpe Ratio,0.20929259511411777,0.09175582464824174,0.5798937026168286,-0.17388680662590128
 ,15 Year Positive Streak,5 Year Positive Streak,15 Year Negative Streak,5 Year Negative Streak
